ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,tier,quality
META,82.92105263157895,50.0,,,,"Meta Platforms, Inc.",61.2,Communication Services,Internet Content & Information,60.0,50.0,50.0,95.0,65.0,668.69,1691488485376,66.5,33.2,15.0,18.4,2026-02-12 08:11:32,2025-12-12,⭐⭐⭐ EXCELLENT,🟢 Excellent
TSLA,71.25,50.0,,,,"Tesla, Inc.",64.7,Consumer Cyclical,Auto Manufacturers,50.0,70.0,74.5,75.0,60.0,428.605,1608311111680,62.9,28.5,15.0,19.4,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
PLTR,56.738461538461536,50.0,,,,Palantir Technologies Inc.,79.2,Technology,Software - Infrastructure,60.0,100.0,74.5,95.0,70.0,135.68,323384606720,61.5,22.7,15.0,23.8,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
BNTX,68.4090909090909,50.0,,,,BioNTech SE,63.0,Healthcare,Biotechnology,50.0,90.0,50.0,60.0,65.0,109.38,27446802432,61.3,27.4,15.0,18.9,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
SOFI,58.388888888888886,50.0,,,,"SoFi Technologies, Inc.",72.8,Financial Services,Credit Services,55.0,100.0,70.0,75.0,60.0,20.55,25968164864,60.2,23.4,15.0,21.8,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
ROKU,60.13333333333334,50.0,,,,"Roku, Inc.",65.3,Communication Services,Entertainment,50.0,70.0,80.5,65.0,70.0,87.89,12985903104,58.6,24.1,15.0,19.6,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
TWLO,59.75,50.0,,,,Twilio Inc.,65.8,Technology,Software - Infrastructure,50.0,70.0,79.0,70.0,70.0,110.44,16945207296,58.6,23.9,15.0,19.7,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
OKTA,66.65,50.0,,,,"Okta, Inc.",54.5,Technology,Software - Infrastructure,50.0,50.0,50.0,70.0,65.0,88.18,15628161024,58.0,26.7,15.0,16.3,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
ADBE,58.65909090909091,50.0,,,,Adobe Inc.,63.0,Technology,Software - Application,60.0,70.0,50.0,70.0,70.0,257.16,107647180800,57.4,23.5,15.0,18.9,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
NFLX,60.65714285714286,50.0,,,,"Netflix, Inc.",55.8,Communication Services,Entertainment,60.0,60.0,15.0,85.0,70.0,79.63,337781653504,56.0,24.3,15.0,16.7,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
LCID,58.040000000000006,50.0,,,,"Lucid Group, Inc.",57.2,Consumer Cyclical,Auto Manufacturers,50.0,100.0,15.0,55.0,60.0,10.05,3257892864,55.4,23.2,15.0,17.2,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
SNOW,58.56363636363636,50.0,,,,Snowflake Inc.,56.2,Technology,Software - Application,50.0,70.0,50.0,45.0,70.0,178.83,61195628544,55.3,23.4,15.0,16.9,2026-02-12 08:11:32,2025-12-12,⭐⭐ GOOD,🟡 Good
CRM,53.742105263157896,78.4,71.3,100.0,100.0,CRM,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,21.5,23.5,0.0,2026-02-12 08:11:32,2025-12-12,⭐ AVERAGE,🟡 Average
COIN,55.96153846153846,50.0,,,,COIN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,37.4,22.4,15.0,0.0,2026-02-12 08:11:32,2025-12-12,⚠️ WEAK,🔴 Weak
SHOP,55.9,50.0,,,,SHOP,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,37.4,22.4,15.0,0.0,2026-02-12 08:11:32,2025-12-12,⚠️ WEAK,🔴 Weak
DOCU,55.45454545454545,50.0,,,,DOCU,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,37.2,22.2,15.0,0.0,2026-02-12 08:11:32,2025-12-12,⚠️ WEAK,🔴 Weak
DDOG,53.125,50.0,,,,DDOG,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,36.2,21.2,15.0,0.0,2026-02-12 08:11:32,2025-12-12,⚠️ WEAK,🔴 Weak
